"회계연도","지역명","자치단체코드","자치단체명","분야코드","분야명","부문코드","부문명","정책사업예산총계","행정운영경비총계","재무활동총계","정책사업예산순계","재무활동순계","행정운영경비순계"
"2016","경남","4800000","경남본청","010","일반공공행정","011","입법및선거관리","6143969000","0","0","6143969000","0","0"
"2016","경남","4800000","경남본청","010","일반공공행정","013","지방행정ㆍ재정지원","695105719000","0","0","2191719000","0","0"
"2016","경남","4800000","경남본청","010","일반공공행정","014","재정ㆍ금융","5490254000","122568975000","0","5490254000","15143000000","0"
"2016","경남","4800000","경남본청","010","일반공공행정","016","일반행정","57579668000","4713000","0","43270036000","4713000","0"
"2016","경남","4800000","경남본청","020","공공질서및안전","025","재난방재ㆍ민방위","87959807000","0","0","33065453000","0","0"
"2016","경남","4800000","경남본청","020","공공질서및안전","026","소방","64651599000","0","0","60260407000","0","0"
"2016","경남","4800000","경남본청","050","교육","051","유아및초중등교육","480969000000","0","0","474869000000","0","0"
"2016","경남","4800000","경남본청","050","교육","053","평생ㆍ직업교육","14715652000","0","0","14715652000","0","0"
"2016","경남","4800000","경남본청","060","문화및관광","061","문화예술","42974372000","0","0","28083076000","0","0"
"2016","경남","4800000","경남본청","060","문화및관광","062","관광","44092439000","0","0","2741339000","0","0"
"2016","경남","4800000","경남본청","060","문화및관광","063","체육","53952854000","0","0","25353055000","0","0"
"2016","경남","4800000","경남본청","060","문화및관광","064","문화재","48313211000","1781000","0","1631243000","1781000","0"
"2016","경남","4800000","경남본청","070","환경보호","071","상하수도ㆍ수질","335162169000","0","0","271919000","0","0"
"2016","경남","4800000","경남본청","070","환경보호","072","폐기물","5769038000","0","0","147538000","0","0"
"2016","경남","4800000","경남본청","070","환경보호","073","대기","12724700000","0","0","326968000","0","0"
"2016","경남","4800000","경남본청","070","환경보호","074","자연","10190583000","0","0","1482583000","0","0"
"2016","경남","4800000","경남본청","070","환경보호","076","환경보호일반","3409365000","0","0","2666865000","0","0"
"2016","경남","4800000","경남본청","080","사회복지","081","기초생활보장","351559727000","66821420000","0","2797065000","0","0"
"2016","경남","4800000","경남본청","080","사회복지","082","취약계층지원","196362475000","0","0","9566684000","0","0"
"2016","경남","4800000","경남본청","080","사회복지","084","보육ㆍ가족및여성","660372106000","14400000","0","9517623000","14400000","0"
"2016","경남","4800000","경남본청","080","사회복지","085","노인ㆍ청소년","775007336000","0","0","6941645000","0","0"
"2016","경남","4800000","경남본청","080","사회복지","086","노동","16809439000","0","0","6699611000","0","0"
"2016","경남","4800000","경남본청","080","사회복지","087","보훈","1852541000","0","0","928941000","0","0"
"2016","경남","4800000","경남본청","080","사회복지","088","주택","3380049000","0","0","438951000","0","0"
