"회계연도","지역명","자치단체코드","자치단체명","분야코드","분야명","부문코드","부문명","정책사업예산총계","행정운영경비총계","재무활동총계","정책사업예산순계","재무활동순계","행정운영경비순계"
"2014","경남","4816000","경남사천시","900","기타","901","기타","0","0","59139000","0","0","59139000"
"2014","경남","4816000","경남사천시","140","국토및지역개발","142","지역및도시","3774166000","0","0","3564971000","0","0"
"2014","경남","4816000","경남사천시","110","산업ㆍ중소기업","114","산업진흥ㆍ고도화","3574805000","2451000000","0","3574805000","0","0"
"2014","경남","4816000","경남사천시","100","농림해양수산","101","농업ㆍ농촌","2000000000","0","0","2000000000","0","0"
"2014","경남","4816000","경남사천시","080","사회복지","088","주택","442552000","0","0","442552000","0","0"
"2014","경남","4816000","경남사천시","080","사회복지","081","기초생활보장","2893118000","57750000","0","1338161000","49500000","0"
"2014","경남","4816000","경남사천시","070","환경보호","076","환경보호일반","717591000","32598000","0","717591000","1000000","0"
"2014","경남","4816000","경남사천시","010","일반공공행정","016","일반행정","411500000","0","0","411500000","0","0"
"2014","경남","4816000","경남사천시","010","일반공공행정","013","지방행정ㆍ재정지원","0","0","0","0","0","0"
"2014","경남","4816000","경남사천시","900","기타","901","기타","0","0","1732802000","0","0","1732802000"
"2014","경남","4816000","경남사천시","070","환경보호","071","상하수도ㆍ수질","22285050000","18000000","0","22285050000","0","0"
"2014","경남","4816000","경남사천시","900","기타","901","기타","0","0","70373351000","3402248000","0","70373351000"
"2014","경남","4816000","경남사천시","160","예비비","161","예비비","9083886000","0","0","9083886000","0","0"
"2014","경남","4816000","경남사천시","140","국토및지역개발","142","지역및도시","24122183000","3793500000","0","24122183000","5000000","0"
"2014","경남","4816000","경남사천시","140","국토및지역개발","141","수자원","4592500000","0","0","4592500000","0","0"
"2014","경남","4816000","경남사천시","120","수송및교통","126","대중교통ㆍ물류등기타","7607628000","0","0","7607628000","0","0"
"2014","경남","4816000","경남사천시","120","수송및교통","121","도로","6670292000","0","0","6670292000","0","0"
"2014","경남","4816000","경남사천시","110","산업ㆍ중소기업","115","에너지및자원개발","241708000","0","0","241708000","0","0"
"2014","경남","4816000","경남사천시","110","산업ㆍ중소기업","114","산업진흥ㆍ고도화","8469073000","2720400000","0","8469073000","0","0"
"2014","경남","4816000","경남사천시","100","농림해양수산","103","해양수산ㆍ어촌","9122645000","0","0","9116645000","0","0"
"2014","경남","4816000","경남사천시","100","농림해양수산","102","임업ㆍ산촌","14467832000","0","0","13973178000","0","0"
"2014","경남","4816000","경남사천시","100","농림해양수산","101","농업ㆍ농촌","30373467000","1000000000","0","30373467000","0","0"
"2014","경남","4816000","경남사천시","090","보건","091","보건의료","7704256000","0","0","7704256000","0","0"
"2014","경남","4816000","경남사천시","080","사회복지","088","주택","693392000","0","0","693392000","0","0"
"2014","경남","4816000","경남사천시","080","사회복지","087","보훈","879543000","0","0","879543000","0","0"
"2014","경남","4816000","경남사천시","080","사회복지","086","노동","1043692000","0","0","1043692000","0","0"
"2014","경남","4816000","경남사천시","080","사회복지","085","노인ㆍ청소년","41723647000","334170000","0","41723647000","334170000","0"
"2014","경남","4816000","경남사천시","080","사회복지","084","보육ㆍ가족및여성","36108538000","0","0","36108538000","0","0"
"2014","경남","4816000","경남사천시","080","사회복지","082","취약계층지원","13014342000","0","0","13014342000","0","0"
"2014","경남","4816000","경남사천시","080","사회복지","081","기초생활보장","19009220000","1605557000","0","19009220000","50600000","0"
"2014","경남","4816000","경남사천시","070","환경보호","076","환경보호일반","1301127000","0","0","1301127000","0","0"
"2014","경남","4816000","경남사천시","070","환경보호","072","폐기물","6462097000","0","0","6462097000","0","0"
"2014","경남","4816000","경남사천시","070","환경보호","071","상하수도ㆍ수질","17780799000","3300000000","0","17780799000","0","0"
"2014","경남","4816000","경남사천시","060","문화및관광","064","문화재","2548670000","0","0","2548670000","0","0"
"2014","경남","4816000","경남사천시","060","문화및관광","063","체육","7036969000","100000000","0","7036969000","100000000","0"
"2014","경남","4816000","경남사천시","060","문화및관광","062","관광","18881610000","0","0","18851610000","0","0"
"2014","경남","4816000","경남사천시","060","문화및관광","061","문화예술","1895136000","0","0","1895136000","0","0"
"2014","경남","4816000","경남사천시","050","교육","053","평생ㆍ직업교육","920822000","0","0","920822000","0","0"
"2014","경남","4816000","경남사천시","050","교육","051","유아및초중등교육","5257752000","0","0","5257752000","0","0"
"2014","경남","4816000","경남사천시","020","공공질서및안전","025","재난방재ㆍ민방위","6801054000","880000000","0","6801054000","431000000","0"
"2014","경남","4816000","경남사천시","010","일반공공행정","016","일반행정","16099232000","1769425000","0","16029232000","1769425000","0"
"2014","경남","4816000","경남사천시","010","일반공공행정","013","지방행정ㆍ재정지원","1206818000","2500000000","0","1206818000","1500000000","0"
"2014","경남","4816000","경남사천시","010","일반공공행정","011","입법및선거관리","2977051000","0","0","2977051000","0","0"
"2014","경남","4817000","경남김해시","900","기타","901","기타","0","0","87519000","0","0","87519000"
"2014","경남","4817000","경남김해시","140","국토및지역개발","142","지역및도시","5529136000","2040000000","0","5529136000","40000000","0"
"2014","경남","4817000","경남김해시","120","수송및교통","126","대중교통ㆍ물류등기타","0","0","0","0","0","0"
"2014","경남","4817000","경남김해시","120","수송및교통","123","도시철도","35776608000","0","0","24052408000","0","0"
"2014","경남","4817000","경남김해시","110","산업ㆍ중소기업","116","산업ㆍ중소기업일반","0","0","0","0","0","0"
"2014","경남","4817000","경남김해시","100","농림해양수산","101","농업ㆍ농촌","0","0","0","0","0","0"
"2014","경남","4817000","경남김해시","080","사회복지","082","취약계층지원","4304131000","0","0","685335000","0","0"
"2014","경남","4817000","경남김해시","080","사회복지","081","기초생활보장","0","57000000","0","0","57000000","0"
"2014","경남","4817000","경남김해시","070","환경보호","076","환경보호일반","0","0","0","0","0","0"
"2014","경남","4817000","경남김해시","070","환경보호","072","폐기물","5147000000","1623200000","0","5147000000","0","0"
"2014","경남","4817000","경남김해시","070","환경보호","071","상하수도ㆍ수질","1328157000","9013141000","0","1328157000","0","0"
"2014","경남","4817000","경남김해시","900","기타","901","기타","0","0","8437744000","0","0","8245902000"
"2014","경남","4817000","경남김해시","160","예비비","161","예비비","0","0","0","0","0","0"
"2014","경남","4817000","경남김해시","140","국토및지역개발","142","지역및도시","1447200000","0","0","1447200000","0","0"
"2014","경남","4817000","경남김해시","070","환경보호","071","상하수도ㆍ수질","104375010000","0","0","95375010000","0","0"
"2014","경남","4817000","경남김해시","900","기타","901","기타","0","0","104595687000","12728668000","0","104595687000"
"2014","경남","4817000","경남김해시","160","예비비","161","예비비","9019114000","0","0","9019114000","0","0"
"2014","경남","4817000","경남김해시","140","국토및지역개발","143","산업단지","25300000","0","0","25300000","0","0"
"2014","경남","4817000","경남김해시","140","국토및지역개발","142","지역및도시","19359540000","0","0","18859540000","0","0"
"2014","경남","4817000","경남김해시","140","국토및지역개발","141","수자원","1124501000","0","0","1124501000","0","0"
"2014","경남","4817000","경남김해시","120","수송및교통","126","대중교통ㆍ물류등기타","34141553000","35755109000","0","34141553000","0","0"
"2014","경남","4817000","경남김해시","120","수송및교통","123","도시철도","5670000","0","0","5670000","0","0"
"2014","경남","4817000","경남김해시","120","수송및교통","121","도로","28970808000","10305390000","0","23470808000","4833390000","0"
"2014","경남","4817000","경남김해시","110","산업ㆍ중소기업","116","산업ㆍ중소기업일반","4871064000","3700000000","0","4871064000","3700000000","0"
"2014","경남","4817000","경남김해시","110","산업ㆍ중소기업","115","에너지및자원개발","1213802000","0","0","1213802000","0","0"
"2014","경남","4817000","경남김해시","110","산업ㆍ중소기업","114","산업진흥ㆍ고도화","2123200000","0","0","2123200000","0","0"
"2014","경남","4817000","경남김해시","110","산업ㆍ중소기업","113","무역및투자유치","287020000","0","0","287020000","0","0"
"2014","경남","4817000","경남김해시","100","농림해양수산","102","임업ㆍ산촌","10816609000","0","0","10723292000","0","0"
"2014","경남","4817000","경남김해시","100","농림해양수산","101","농업ㆍ농촌","39370632000","0","0","39370632000","0","0"
"2014","경남","4817000","경남김해시","090","보건","093","식품의약안전","524510000","0","0","524510000","0","0"
"2014","경남","4817000","경남김해시","090","보건","091","보건의료","14393792000","0","0","14393792000","0","0"
"2014","경남","4817000","경남김해시","080","사회복지","089","사회복지일반","8748966000","0","0","8748966000","0","0"
"2014","경남","4817000","경남김해시","080","사회복지","086","노동","1551014000","0","0","1551014000","0","0"
"2014","경남","4817000","경남김해시","080","사회복지","085","노인ㆍ청소년","61992738000","765000000","0","61992738000","60000000","0"
"2014","경남","4817000","경남김해시","080","사회복지","084","보육ㆍ가족및여성","168367350000","0","0","168367350000","0","0"
"2014","경남","4817000","경남김해시","080","사회복지","082","취약계층지원","28775295000","0","0","28775295000","0","0"
"2014","경남","4817000","경남김해시","080","사회복지","081","기초생활보장","45912796000","3648796000","0","45912796000","30000000","0"
"2014","경남","4817000","경남김해시","070","환경보호","076","환경보호일반","3228562000","0","0","3228562000","0","0"
