"회계연도","지역명","자치단체코드","자치단체명","분야코드","분야명","부문코드","부문명","정책사업예산총계","행정운영경비총계","재무활동총계","정책사업예산순계","재무활동순계","행정운영경비순계"
"2018","전남","4678000","전남강진군","010","일반공공행정","011","입법및선거관리","614359000","0","0","614359000","0","0"
"2018","전남","4678000","전남강진군","010","일반공공행정","013","지방행정ㆍ재정지원","427617000","0","0","427617000","0","0"
"2018","전남","4678000","전남강진군","010","일반공공행정","016","일반행정","14098941000","1000000000","0","14098941000","1000000000","0"
"2018","전남","4678000","전남강진군","020","공공질서및안전","025","재난방재ㆍ민방위","2127254000","176000000","0","2127254000","150000000","0"
"2018","전남","4678000","전남강진군","050","교육","051","유아및초중등교육","2100728000","0","0","2100728000","0","0"
"2018","전남","4678000","전남강진군","050","교육","053","평생ㆍ직업교육","432823000","0","0","432823000","0","0"
"2018","전남","4678000","전남강진군","060","문화및관광","061","문화예술","9940755000","30000000","0","9933755000","30000000","0"
"2018","전남","4678000","전남강진군","060","문화및관광","062","관광","8166383000","0","0","8156383000","0","0"
"2018","전남","4678000","전남강진군","060","문화및관광","063","체육","5247947000","0","0","5247947000","0","0"
"2018","전남","4678000","전남강진군","060","문화및관광","064","문화재","4391922000","0","0","4391922000","0","0"
"2018","전남","4678000","전남강진군","060","문화및관광","065","문화및관광일반","1711737000","0","0","1711737000","0","0"
"2018","전남","4678000","전남강진군","070","환경보호","071","상하수도ㆍ수질","10011989000","2046177000","0","10011989000","2035000000","0"
"2018","전남","4678000","전남강진군","070","환경보호","072","폐기물","2153835000","0","0","2153835000","0","0"
"2018","전남","4678000","전남강진군","070","환경보호","073","대기","249440000","0","0","249440000","0","0"
"2018","전남","4678000","전남강진군","070","환경보호","074","자연","1161498000","0","0","1161498000","0","0"
"2018","전남","4678000","전남강진군","070","환경보호","076","환경보호일반","34100000","0","0","34100000","0","0"
"2018","전남","4678000","전남강진군","080","사회복지","081","기초생활보장","8998729000","895834000","0","8998729000","0","0"
"2018","전남","4678000","전남강진군","080","사회복지","082","취약계층지원","5657554000","0","0","5657554000","0","0"
"2018","전남","4678000","전남강진군","080","사회복지","084","보육ㆍ가족및여성","12953170000","0","0","12919395000","0","0"
"2018","전남","4678000","전남강진군","080","사회복지","085","노인ㆍ청소년","34482904000","0","0","34482904000","0","0"
"2018","전남","4678000","전남강진군","080","사회복지","087","보훈","550300000","0","0","550300000","0","0"
"2018","전남","4678000","전남강진군","080","사회복지","089","사회복지일반","0","50000000","0","0","50000000","0"
"2018","전남","4678000","전남강진군","090","보건","091","보건의료","6254749000","0","0","6254749000","0","0"
"2018","전남","4678000","전남강진군","090","보건","093","식품의약안전","387553000","0","0","387553000","0","0"
"2018","전남","4678000","전남강진군","100","농림해양수산","101","농업ㆍ농촌","86235620000","200000000","0","85973620000","200000000","0"
"2018","전남","4678000","전남강진군","100","농림해양수산","102","임업ㆍ산촌","11627670000","0","0","11523154000","0","0"
"2018","전남","4678000","전남강진군","100","농림해양수산","103","해양수산ㆍ어촌","6193831000","0","0","6163831000","0","0"
"2018","전남","4678000","전남강진군","110","산업ㆍ중소기업","113","무역및투자유치","20700000","0","0","20700000","0","0"
"2018","전남","4678000","전남강진군","110","산업ㆍ중소기업","116","산업ㆍ중소기업일반","1538367000","0","0","1477367000","0","0"
"2018","전남","4678000","전남강진군","120","수송및교통","121","도로","591892000","0","0","591892000","0","0"
"2018","전남","4678000","전남강진군","120","수송및교통","126","대중교통ㆍ물류등기타","6688222000","0","0","6688222000","0","0"
"2018","전남","4678000","전남강진군","140","국토및지역개발","141","수자원","1794580000","0","0","1794580000","0","0"
"2018","전남","4678000","전남강진군","140","국토및지역개발","142","지역및도시","14111553000","0","0","14111553000","0","0"
"2018","전남","4678000","전남강진군","140","국토및지역개발","143","산업단지","1181384000","0","0","1181384000","0","0"
"2018","전남","4678000","전남강진군","160","예비비","161","예비비","3645683000","0","0","3645683000","0","0"
"2018","전남","4678000","전남강진군","900","기타","901","기타","0","0","53880572000","7436573000","0","53880572000"
"2018","전남","4678000","전남강진군","070","환경보호","071","상하수도ㆍ수질","2874369000","251620000","0","2874369000","251620000","0"
"2018","전남","4678000","전남강진군","080","사회복지","081","기초생활보장","2210639000","0","0","1328354000","0","0"
"2018","전남","4678000","전남강진군","100","농림해양수산","101","농업ㆍ농촌","3413000000","0","0","3413000000","0","0"
"2018","전남","4678000","전남강진군","110","산업ㆍ중소기업","116","산업ㆍ중소기업일반","0","0","0","0","0","0"
"2018","전남","4678000","전남강진군","120","수송및교통","126","대중교통ㆍ물류등기타","490000000","0","0","490000000","0","0"
"2018","전남","4678000","전남강진군","140","국토및지역개발","142","지역및도시","0","0","0","0","0","0"
"2018","전남","4674000","전남고흥군","010","일반공공행정","011","입법및선거관리","2376173000","0","0","2376173000","0","0"
"2018","전남","4674000","전남고흥군","010","일반공공행정","016","일반행정","22124135000","0","0","22124135000","0","0"
"2018","전남","4674000","전남고흥군","020","공공질서및안전","025","재난방재ㆍ민방위","2458026000","180000000","0","2458026000","180000000","0"
"2018","전남","4674000","전남고흥군","050","교육","051","유아및초중등교육","1542034000","0","0","1442034000","0","0"
"2018","전남","4674000","전남고흥군","050","교육","053","평생ㆍ직업교육","237900000","0","0","237900000","0","0"
"2018","전남","4674000","전남고흥군","060","문화및관광","061","문화예술","9644744000","0","0","9644744000","0","0"
"2018","전남","4674000","전남고흥군","060","문화및관광","062","관광","13056421000","0","0","13056421000","0","0"
"2018","전남","4674000","전남고흥군","060","문화및관광","063","체육","4619628000","300000000","0","4619628000","300000000","0"
"2018","전남","4674000","전남고흥군","060","문화및관광","064","문화재","3051278000","0","0","3051278000","0","0"
"2018","전남","4674000","전남고흥군","070","환경보호","071","상하수도ㆍ수질","38579422000","500000000","0","38579422000","0","0"
"2018","전남","4674000","전남고흥군","070","환경보호","072","폐기물","8239239000","0","0","8239239000","0","0"
"2018","전남","4674000","전남고흥군","070","환경보호","075","해양","0","0","0","0","0","0"
"2018","전남","4674000","전남고흥군","070","환경보호","076","환경보호일반","1080759000","0","0","1080759000","0","0"
"2018","전남","4674000","전남고흥군","080","사회복지","081","기초생활보장","12375115000","0","0","12375115000","0","0"
"2018","전남","4674000","전남고흥군","080","사회복지","082","취약계층지원","10096511000","1746458000","0","10096511000","118000000","0"
"2018","전남","4674000","전남고흥군","080","사회복지","084","보육ㆍ가족및여성","14141113000","0","0","14107338000","0","0"
"2018","전남","4674000","전남고흥군","080","사회복지","085","노인ㆍ청소년","75972317000","0","0","75972317000","0","0"
"2018","전남","4674000","전남고흥군","080","사회복지","086","노동","1830560000","0","0","1830560000","0","0"
"2018","전남","4674000","전남고흥군","080","사회복지","087","보훈","1113726000","0","0","1113726000","0","0"
"2018","전남","4674000","전남고흥군","080","사회복지","088","주택","2831806000","0","0","2831806000","0","0"
"2018","전남","4674000","전남고흥군","080","사회복지","089","사회복지일반","0","0","0","0","0","0"
"2018","전남","4674000","전남고흥군","090","보건","091","보건의료","9942309000","0","0","9942309000","0","0"
