"회계연도","지역명","자치단체코드","자치단체명","분야코드","분야명","부문코드","부문명","정책사업예산총계","행정운영경비총계","재무활동총계","정책사업예산순계","재무활동순계","행정운영경비순계"
"2015","경북","4774000","경북영양군","010","일반공공행정","011","입법및선거관리","500735000","0","0","500735000","0","0"
"2015","경북","4774000","경북영양군","010","일반공공행정","013","지방행정ㆍ재정지원","549527000","1000000","0","549527000","1000000","0"
"2015","경북","4774000","경북영양군","010","일반공공행정","016","일반행정","12752500000","56000000","0","12494388000","56000000","0"
"2015","경북","4774000","경북영양군","020","공공질서및안전","025","재난방재ㆍ민방위","13572408000","900000000","0","13572408000","30000000","0"
"2015","경북","4774000","경북영양군","020","공공질서및안전","026","소방","95272000","0","0","95272000","0","0"
"2015","경북","4774000","경북영양군","050","교육","051","유아및초중등교육","497360000","0","0","497360000","0","0"
"2015","경북","4774000","경북영양군","060","문화및관광","061","문화예술","2150684000","0","0","2150684000","0","0"
"2015","경북","4774000","경북영양군","060","문화및관광","062","관광","9988042000","0","0","9988042000","0","0"
"2015","경북","4774000","경북영양군","060","문화및관광","063","체육","2471698000","0","0","2471698000","0","0"
"2015","경북","4774000","경북영양군","060","문화및관광","064","문화재","1187778000","0","0","1187778000","0","0"
"2015","경북","4774000","경북영양군","070","환경보호","071","상하수도ㆍ수질","1159274000","6365017000","0","1159274000","0","0"
"2015","경북","4774000","경북영양군","070","환경보호","072","폐기물","1710521000","0","0","1710521000","0","0"
"2015","경북","4774000","경북영양군","070","환경보호","073","대기","310058000","0","0","310058000","0","0"
"2015","경북","4774000","경북영양군","070","환경보호","074","자연","537990000","0","0","537990000","0","0"
"2015","경북","4774000","경북영양군","080","사회복지","081","기초생활보장","3913701000","0","0","3913701000","0","0"
"2015","경북","4774000","경북영양군","080","사회복지","082","취약계층지원","4794685000","0","0","4794685000","0","0"
"2015","경북","4774000","경북영양군","080","사회복지","084","보육ㆍ가족및여성","2596870000","0","0","2596870000","0","0"
"2015","경북","4774000","경북영양군","080","사회복지","085","노인ㆍ청소년","17711047000","0","0","17711047000","0","0"
"2015","경북","4774000","경북영양군","080","사회복지","086","노동","633345000","0","0","633345000","0","0"
"2015","경북","4774000","경북영양군","080","사회복지","087","보훈","442955000","0","0","442955000","0","0"
"2015","경북","4774000","경북영양군","080","사회복지","089","사회복지일반","0","513862000","0","0","126000000","0"
"2015","경북","4774000","경북영양군","090","보건","091","보건의료","3857530000","0","0","3857530000","0","0"
"2015","경북","4774000","경북영양군","090","보건","093","식품의약안전","151096000","0","0","151096000","0","0"
"2015","경북","4774000","경북영양군","100","농림해양수산","101","농업ㆍ농촌","38887182000","1529000000","0","38887182000","1000000000","0"
"2015","경북","4774000","경북영양군","100","농림해양수산","102","임업ㆍ산촌","8607323000","0","0","7981779000","0","0"
"2015","경북","4774000","경북영양군","100","농림해양수산","103","해양수산ㆍ어촌","314420000","0","0","314420000","0","0"
"2015","경북","4774000","경북영양군","110","산업ㆍ중소기업","114","산업진흥ㆍ고도화","1434582000","0","0","1428582000","0","0"
"2015","경북","4774000","경북영양군","120","수송및교통","121","도로","2779198000","0","0","2779198000","0","0"
"2015","경북","4774000","경북영양군","120","수송및교통","126","대중교통ㆍ물류등기타","2625999000","0","0","2625999000","0","0"
"2015","경북","4774000","경북영양군","140","국토및지역개발","141","수자원","0","0","0","0","0","0"
"2015","경북","4774000","경북영양군","140","국토및지역개발","142","지역및도시","12289089000","0","0","12289089000","0","0"
"2015","경북","4774000","경북영양군","140","국토및지역개발","143","산업단지","0","0","0","0","0","0"
"2015","경북","4774000","경북영양군","160","예비비","161","예비비","4310503000","0","0","4310503000","0","0"
"2015","경북","4774000","경북영양군","900","기타","901","기타","0","0","36801749000","0","0","36801749000"
"2015","경북","4774000","경북영양군","010","일반공공행정","016","일반행정","1395000000","0","0","1395000000","0","0"
